INSTNM,CITY,STABBR,ZIP,CONTROL,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,BOOKSUPPLY,NPT4_PUB,NPT4_PRIV,PFTFAC,ADM_RATE,C100_4,MD_EARN_WNE_P6,MD_EARN_WNE_P8,MD_EARN_WNE_P10
Joffrey Ballet School,New York,NY,10011,3,41453.0,nan,21500.0,21500.0,nan,1300.0,nan,35291.0,nan,0.4163,nan,21808.0,nan,nan
American Musical and Dramatic Academy,New York,NY,10023,2,58517.0,nan,41960.0,41960.0,nan,1200.0,nan,46298.0,1.0,0.4441,0.6214,25228.0,29207.0,31331.0
Apex Technical School,Long Island City,NY,11101,3,nan,21844.0,nan,nan,18400.0,nan,nan,16121.0,nan,nan,nan,33621.0,36744.0,37915.0
Arnot Ogden Medical Center,Elmira,NY,14905-1676,2,nan,23081.0,nan,nan,28972.0,nan,nan,18031.0,nan,1.0,nan,57350.0,nan,51734.0
Associated Beth Rivkah Schools,Brooklyn,NY,11225-0000,2,23280.0,nan,7900.0,7900.0,nan,200.0,nan,15917.0,nan,1.0,nan,13827.0,15221.0,16795.0
Bank Street College of Education,New York,NY,10025,2,nan,nan,nan,nan,nan,nan,nan,nan,0.6389,nan,nan,nan,nan,nan
Bard College,Annandale-On-Hudson,NY,12504-5000,2,74464.0,nan,56036.0,56036.0,nan,1100.0,nan,26013.0,0.6327,0.5695,0.6143,32377.0,41197.0,43441.0
Barnard College,New York,NY,10027-6598,2,77758.0,nan,57479.0,57479.0,nan,1150.0,nan,33122.0,0.7809,0.136,0.85,58581.0,64769.0,71678.0
Berk Trade and Business School,Long Island City,NY,11101-8120,3,nan,18964.0,nan,nan,12225.0,nan,nan,15184.0,nan,nan,nan,43199.0,39460.0,33987.0
Berkeley College-New York,New York,NY,10017,3,35385.0,nan,27000.0,27000.0,nan,nan,nan,17574.0,1.0,nan,0.237,36801.0,39282.0,46873.0
Berkowits School of Electrolysis,Forest Hills,NY,11375-6820,3,nan,nan,nan,nan,5750.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Beth Hamedrash Shaarei Yosher Institute,Brooklyn,NY,11204,2,15650.0,nan,10350.0,10350.0,nan,200.0,nan,5171.0,nan,0.7222,0.0,nan,nan,nan
Phillips School of Nursing at Mount Sinai Beth Israel,New York,NY,10035-6354,2,nan,nan,nan,nan,nan,nan,nan,nan,0.1154,nan,1.0,72799.0,95119.0,97560.0
Brittany Beauty Academy,Brooklyn,NY,11209,3,nan,31322.0,nan,nan,14500.0,nan,nan,26194.0,nan,nan,nan,21427.0,22094.0,16670.0
Boricua College,New York,NY,10032-1560,2,22086.0,nan,11025.0,11025.0,nan,400.0,nan,14286.0,0.6923,nan,0.2893,28959.0,31068.0,32784.0
Brittany Beauty Academy,Levittown,NY,11756-1345,3,nan,28776.0,nan,nan,16000.0,nan,nan,24152.0,nan,nan,nan,19493.0,18215.0,19578.0
American Beauty School,Bronx,NY,10462,3,nan,10559.0,nan,nan,8190.0,nan,nan,7035.0,nan,nan,nan,20038.0,17788.0,20605.0
Brooklyn Law School,Brooklyn,NY,11201,2,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan
SUNY Broome Community College,Binghamton,NY,13901-1001,1,13872.0,nan,6136.0,11224.0,nan,1400.0,7043.0,nan,0.4757,nan,nan,30344.0,32586.0,36882.0
Bryant & Stratton College-Syracuse North,Liverpool,NY,13090,3,20782.0,nan,18795.0,18795.0,nan,1800.0,nan,7349.0,0.56,nan,nan,25049.0,27225.0,30246.0
Bryant & Stratton College-Buffalo,Buffalo,NY,14203,3,22129.0,nan,17833.0,17833.0,nan,1800.0,nan,12269.0,0.2388,nan,nan,25049.0,27225.0,30246.0
Bryant & Stratton College-Greece,Rochester,NY,14612,3,22534.0,nan,18447.0,18447.0,nan,1800.0,nan,12506.0,0.2553,nan,0.0,25049.0,27225.0,30246.0
Canisius College,Buffalo,NY,14208-1098,2,39217.0,nan,30230.0,30230.0,nan,1000.0,nan,18602.0,0.4452,0.7602,0.6412,44451.0,48959.0,53395.0
Capri Cosmetology Learning Centers,Nanuet,NY,10954,3,nan,24089.0,nan,nan,14100.0,nan,nan,21068.0,nan,nan,nan,25682.0,23922.0,35851.0
St Paul's School of Nursing-Queens,Rego Park,NY,11374,3,32020.0,nan,20871.0,20871.0,nan,2630.0,nan,24475.0,0.2833,nan,nan,73713.0,91068.0,87418.0
Cayuga County Community College,Auburn,NY,13021-3099,1,12804.0,nan,5884.0,10876.0,nan,1250.0,5922.0,nan,0.375,nan,nan,29767.0,32312.0,36244.0
Cazenovia College,Cazenovia,NY,13035,2,51761.0,nan,36668.0,36668.0,nan,1000.0,nan,19231.0,1.0,0.7218,0.4356,37462.0,41904.0,46087.0
Central Yeshiva Tomchei Tmimim Lubavitz,Brooklyn,NY,11230-2798,2,23867.0,nan,7700.0,7700.0,nan,200.0,nan,16486.0,0.6875,0.9524,0.0,25303.0,24630.0,31713.0
Christ the King Seminary,East Aurora,NY,14052-0607,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Christine Valmy International School for Esthetics Skin Care & Makeup,New York,NY,10036,3,nan,17826.0,nan,nan,9100.0,nan,nan,15761.0,nan,nan,nan,nan,nan,nan
Circle in the Square Theatre School,New York,NY,10019-6795,2,46765.0,nan,19540.0,19540.0,nan,600.0,nan,46298.0,nan,0.1212,nan,38109.0,nan,nan
Clarkson University,Potsdam,NY,13699,2,69456.0,nan,52724.0,52724.0,nan,1446.0,nan,29522.0,0.6827,0.7799,0.6271,65651.0,74490.0,81358.0
Clinton Community College,Plattsburgh,NY,12901,1,13746.0,nan,6831.0,12377.0,nan,1100.0,6723.0,nan,0.5326,nan,nan,30235.0,34282.0,37137.0
Cochran School of Nursing,Yonkers,NY,10701,2,nan,nan,nan,nan,nan,nan,nan,nan,0.7778,nan,nan,84128.0,82864.0,90314.0
Colgate Rochester Crozer Divinity School,Rochester,NY,14607,2,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Colgate University,Hamilton,NY,13346-1398,2,75000.0,nan,60015.0,60015.0,nan,1055.0,nan,27775.0,0.9244,0.2747,0.854,57238.0,70475.0,76267.0
Metropolitan College of New York,New York,NY,10006-1742,2,34022.0,nan,20188.0,20188.0,nan,1000.0,nan,23648.0,0.1503,0.4041,0.1515,34261.0,34597.0,44328.0
Columbia University in the City of New York,New York,NY,10027,2,79750.0,nan,61671.0,61671.0,nan,1318.0,nan,22823.0,0.4878,0.0666,0.8572,79434.0,87863.0,89871.0
Columbia-Greene Community College,Hudson,NY,12534,1,11269.0,nan,5616.0,10584.0,nan,1600.0,5740.0,nan,1.0,nan,nan,33491.0,36158.0,39008.0
Empire Beauty School-Queens,Astoria,NY,11103,3,nan,22100.0,nan,nan,12750.0,nan,nan,17614.0,nan,nan,nan,19633.0,21562.0,23728.0
Concordia College,Bronxville,NY,10708-1998,2,44662.0,nan,36000.0,36000.0,nan,1000.0,nan,27542.0,1.0,0.9529,0.2555,48513.0,47338.0,53695.0
Continental School of Beauty Culture-Rochester,Rochester,NY,14623,3,nan,24383.0,nan,nan,13120.0,nan,nan,18592.0,nan,nan,nan,23924.0,22443.0,23067.0
Cooper Union for the Advancement of Science and Art,New York,NY,10003-7120,2,61775.0,nan,46820.0,46820.0,nan,1800.0,nan,11218.0,0.275,0.1751,0.6636,44726.0,60361.0,64160.0
Cornell University,Ithaca,NY,14853,2,75204.0,nan,59282.0,59282.0,nan,990.0,nan,37042.0,0.9253,0.1071,0.8883,78779.0,84039.0,91176.0
Weill Medical College of Cornell University,New York,NY,10065,2,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,78779.0,84039.0,91176.0
SUNY Corning Community College,Corning,NY,14830,1,13284.0,nan,5824.0,9052.0,nan,1200.0,7423.0,nan,1.0,nan,nan,28274.0,34657.0,34626.0
Pomeroy College of Nursing at Crouse Hospital,Syracuse,NY,13210-1687,2,25460.0,nan,17148.0,17148.0,nan,1400.0,nan,23534.0,0.4706,0.7188,nan,58429.0,57497.0,61908.0
Culinary Institute of America,Hyde Park,NY,12538-1499,2,50216.0,nan,34650.0,34650.0,nan,1000.0,nan,27894.0,1.0,0.9668,nan,43122.0,45042.0,48424.0
CUNY Bernard M Baruch College,New York,NY,10010,1,13569.0,nan,7462.0,15412.0,nan,1364.0,2264.0,nan,0.4236,0.4071,0.4545,55554.0,62089.0,67136.0
CUNY Borough of Manhattan Community College,New York,NY,10007,1,12796.0,nan,5170.0,8050.0,nan,1364.0,5646.0,nan,0.4189,nan,nan,32733.0,36790.0,41736.0
CUNY Bronx Community College,Bronx,NY,10453,1,11750.0,nan,5206.0,8086.0,nan,1364.0,3803.0,nan,0.4452,nan,nan,32595.0,35423.0,40023.0
CUNY Brooklyn College,Brooklyn,NY,11210,1,13802.0,nan,7440.0,15390.0,nan,1364.0,3067.0,nan,0.3798,0.4974,0.2829,43178.0,47353.0,54322.0
College of Staten Island CUNY,Staten Island,NY,10314,1,15176.0,nan,7490.0,15440.0,nan,1364.0,5872.0,nan,0.3721,nan,0.2583,39590.0,44144.0,50916.0
CUNY City College,New York,NY,10031,1,13667.0,nan,7340.0,15290.0,nan,1364.0,2805.0,nan,0.4192,0.5054,0.2407,45588.0,49963.0,55741.0
CUNY Graduate School and University Center,New York,NY,10016,1,nan,nan,nan,nan,nan,nan,nan,nan,0.3722,nan,nan,51575.0,58301.0,58746.0
CUNY Hostos Community College,Bronx,NY,10451,1,14189.0,nan,5208.0,8088.0,nan,1364.0,6846.0,nan,0.4254,nan,nan,31581.0,34964.0,40365.0
CUNY Hunter College,New York,NY,10065,1,13219.0,nan,7382.0,15332.0,nan,1364.0,2158.0,nan,0.3335,0.4048,0.2728,45287.0,51944.0,55713.0
CUNY John Jay College of Criminal Justice,New York,NY,10019,1,13549.0,nan,7470.0,15420.0,nan,1364.0,2699.0,nan,0.3661,0.3743,0.3268,44607.0,47366.0,50491.0
CUNY Kingsborough Community College,Brooklyn,NY,11235,1,13470.0,nan,5252.0,8132.0,nan,1364.0,6086.0,nan,0.4401,nan,nan,33721.0,36521.0,41893.0
CUNY LaGuardia Community College,Long Island City,NY,11101,1,14285.0,nan,5218.0,8098.0,nan,1516.0,7444.0,nan,0.3937,nan,nan,33591.0,36789.0,42287.0
CUNY Lehman College,Bronx,NY,10468,1,13704.0,nan,7410.0,15360.0,nan,1364.0,2614.0,nan,0.3804,0.4701,0.2818,44658.0,47782.0,51661.0
CUNY Medgar Evers College,Brooklyn,NY,11225,1,15448.0,nan,7352.0,15302.0,nan,1364.0,6689.0,nan,0.4203,0.7848,0.027,34242.0,37655.0,41987.0
CUNY New York City College of Technology,Brooklyn,NY,11201,1,13563.0,nan,7320.0,15270.0,nan,1364.0,4120.0,nan,0.2797,0.7907,0.0577,39174.0,42601.0,45868.0
CUNY Queens College,Queens,NY,11367,1,13768.0,nan,7538.0,15488.0,nan,1364.0,3469.0,nan,0.4093,0.5349,0.2569,45538.0,50787.0,54742.0
CUNY Queensborough Community College,Bayside,NY,11364-1497,1,12744.0,nan,5210.0,8090.0,nan,1364.0,5857.0,nan,0.5302,nan,nan,33103.0,38182.0,42614.0
CUNY School of Law,Long Island City,NY,11101,1,nan,nan,nan,nan,nan,nan,nan,nan,0.7568,nan,nan,nan,nan,nan
CUNY York College,Jamaica,NY,11451,1,13948.0,nan,7358.0,15308.0,nan,1364.0,3985.0,nan,0.3262,0.5276,0.075,42661.0,45385.0,49722.0
CVPH Medical Center School of Radiologic Technology,Plattsburgh,NY,12901-1438,2,nan,16536.0,nan,nan,19750.0,nan,nan,14813.0,nan,0.4167,nan,nan,nan,nan
D'Youville College,Buffalo,NY,14201-1084,2,38790.0,nan,28886.0,28886.0,nan,1200.0,nan,21211.0,0.7103,0.8307,0.2945,52087.0,56979.0,53680.0
Daemen University,Amherst,NY,14226-3592,2,40900.0,nan,30360.0,30360.0,nan,1000.0,nan,18775.0,0.5213,0.6178,0.42,45662.0,49572.0,53551.0
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,Far Rockaway,NY,11691-5219,2,21683.0,nan,13750.0,13750.0,nan,200.0,nan,12134.0,nan,0.8824,0.1667,nan,nan,nan
Dominican College of Blauvelt,Orangeburg,NY,10962-1210,2,43424.0,nan,30720.0,30720.0,nan,1500.0,nan,20896.0,0.362,0.7462,0.3287,47363.0,49676.0,56562.0
Dutchess Community College,Poughkeepsie,NY,12601-1595,1,14105.0,nan,4896.0,9246.0,nan,1450.0,7836.0,nan,0.295,nan,nan,34257.0,36531.0,39850.0
Belanger School of Nursing,Schenectady,NY,12304,2,nan,nan,10664.0,10664.0,nan,1850.0,nan,nan,0.5833,0.4,nan,nan,61071.0,67700.0
Elmira Business Institute,Vestal,NY,13850,3,56394.0,nan,22850.0,22850.0,nan,4000.0,nan,52796.0,nan,nan,nan,22909.0,23511.0,23680.0
Elmira College,Elmira,NY,14901,2,48133.0,nan,36228.0,36228.0,nan,600.0,nan,21440.0,0.5769,0.8313,0.6261,44979.0,47605.0,53878.0
Erie Community College,Buffalo,NY,14203-2698,1,11203.0,nan,5722.0,10769.0,nan,1100.0,4575.0,nan,0.3212,nan,nan,32380.0,34880.0,37442.0
Fashion Institute of Technology,New York,NY,10001-5992,1,18403.0,nan,5913.0,16493.0,nan,1850.0,10389.0,nan,1.0,0.5898,nan,50916.0,57125.0,60037.0
Finger Lakes Community College,Canandaigua,NY,14424-8395,1,16187.0,nan,5534.0,6508.0,nan,1000.0,10534.0,nan,1.0,nan,nan,30132.0,33658.0,36651.0
Five Towns College,Dix Hills,NY,11746-5871,3,35154.0,nan,25595.0,25595.0,nan,1400.0,nan,22769.0,0.2016,0.47,0.3636,28128.0,35224.0,43921.0
Fordham University,Bronx,NY,10458,2,71388.0,nan,56161.0,56161.0,nan,1040.0,nan,38147.0,1.0,0.5253,0.7855,58330.0,68829.0,74578.0
The International Culinary Center,New York,NY,10013-2618,3,nan,54832.0,nan,nan,39050.0,nan,nan,46419.0,nan,nan,nan,43079.0,36886.0,46042.0
Fulton-Montgomery Community College,Johnstown,NY,12095-3790,1,15845.0,nan,5718.0,5718.0,nan,900.0,9384.0,nan,0.58,nan,nan,32126.0,33753.0,40020.0
Gemological Institute of America-New York,New York,NY,10036,2,nan,41179.0,nan,nan,21000.0,nan,nan,36392.0,nan,nan,nan,37355.0,41197.0,46193.0
The General Theological Seminary,New York,NY,10011,2,nan,nan,nan,nan,nan,nan,nan,nan,0.2632,nan,nan,nan,nan,nan
Genesee Community College,Batavia,NY,14020-9704,1,12541.0,nan,5040.0,5640.0,nan,1430.0,6145.0,nan,0.4133,nan,nan,31009.0,32195.0,34573.0
Hamilton College,Clinton,NY,13323,2,72190.0,nan,58510.0,58510.0,nan,800.0,nan,22107.0,0.8561,0.1841,0.8611,56991.0,67761.0,74340.0
Hartwick College,Oneonta,NY,13820-4020,2,60479.0,nan,48364.0,48364.0,nan,700.0,nan,24316.0,1.0,0.931,0.5418,41416.0,48820.0,50184.0
Helene Fuld College of Nursing,New York,NY,10035-2737,2,nan,nan,nan,nan,nan,nan,nan,nan,0.2857,nan,nan,86680.0,88642.0,90038.0
Herkimer County Community College,Herkimer,NY,13350-1598,1,14805.0,nan,5706.0,8990.0,nan,1150.0,7685.0,nan,0.4381,nan,nan,30429.0,32212.0,36622.0
Hilbert College,Hamburg,NY,14075-1597,2,31358.0,nan,24530.0,24530.0,nan,750.0,nan,17082.0,0.4505,0.9171,0.5409,38321.0,37610.0,43687.0
Hobart William Smith Colleges,Geneva,NY,14456,2,74375.0,nan,58650.0,58650.0,nan,1300.0,nan,35764.0,0.8721,0.6184,0.7165,51590.0,58052.0,62980.0
Hofstra University,Hempstead,NY,11549,2,62917.0,nan,49410.0,49410.0,nan,1000.0,nan,33682.0,0.433,0.6911,0.546,49115.0,58297.0,65439.0
Houghton College,Houghton,NY,14744,2,44952.0,nan,34466.0,34466.0,nan,1000.0,nan,23764.0,0.5857,0.7998,0.5636,33225.0,35251.0,43767.0
Hudson Valley Community College,Troy,NY,12180,1,13688.0,nan,5964.0,10764.0,nan,1500.0,7927.0,nan,0.4506,nan,nan,34459.0,38714.0,42416.0
Hunter Business School,Levittown,NY,11756-1375,3,nan,29317.0,nan,nan,13490.0,nan,nan,22795.0,nan,nan,nan,31065.0,29596.0,28645.0
Iona College,New Rochelle,NY,10801-1890,2,54052.0,nan,41580.0,41580.0,nan,1500.0,nan,30234.0,0.5909,0.8595,0.5263,53700.0,59421.0,68170.0
Isabella Graham Hart School of Practical Nursing,Rochester,NY,14621,2,nan,19123.0,nan,nan,15369.0,nan,nan,9509.0,nan,0.5014,nan,36454.0,44226.0,42868.0
Island Drafting and Technical Institute,Amityville,NY,11701-2704,3,31955.0,nan,16950.0,16950.0,nan,1550.0,nan,25734.0,nan,nan,nan,nan,57062.0,59663.0
Ithaca College,Ithaca,NY,14850-7002,2,64006.0,nan,46610.0,46610.0,nan,1000.0,nan,34554.0,0.7879,0.7568,0.7264,48422.0,54576.0,62146.0
Jamestown Community College,Jamestown,NY,14701,1,15896.0,nan,6336.0,11536.0,nan,1200.0,8302.0,nan,0.1925,nan,nan,28273.0,32339.0,36726.0
Jamestown Business College,Jamestown,NY,14701-4756,3,18398.0,nan,12645.0,12645.0,nan,700.0,nan,6198.0,nan,0.9786,nan,28056.0,29686.0,29143.0
Jefferson Community College,Watertown,NY,13601-1897,1,17591.0,nan,5688.0,10608.0,nan,1500.0,10767.0,nan,0.3977,nan,nan,28280.0,31580.0,33970.0
Jewish Theological Seminary of America,New York,NY,10027-4649,2,79512.0,nan,58703.0,58703.0,nan,500.0,nan,46476.0,0.5522,0.5833,0.6842,nan,81239.0,nan
The Juilliard School,New York,NY,10023-6588,2,73642.0,nan,49260.0,49260.0,nan,750.0,nan,37537.0,0.3909,0.0764,0.8438,31676.0,35252.0,37960.0
Kehilath Yakov Rabbinical Seminary,Ossining,NY,10562,2,14125.0,nan,10300.0,10300.0,nan,125.0,nan,2419.0,nan,nan,0.0,nan,nan,nan
Keuka College,Keuka Park,NY,14478,2,50240.0,nan,34032.0,34032.0,nan,1300.0,nan,25797.0,1.0,0.9091,0.058,45233.0,46302.0,52489.0
LIM College,New York,NY,10022-5268,3,47961.0,nan,28756.0,28756.0,nan,900.0,nan,36081.0,0.064,0.8405,0.3702,53178.0,53756.0,56202.0
Le Moyne College,Syracuse,NY,13214-1301,2,49194.0,nan,35910.0,35910.0,nan,1300.0,nan,22948.0,0.5396,0.7474,0.6972,44834.0,53841.0,59538.0
Long Island University,Brookville,NY,11548-1327,2,50591.0,nan,39136.0,39136.0,nan,2000.0,nan,26069.0,0.4393,0.8501,0.252,44432.0,50759.0,52757.0
Long Island Beauty School-Hempstead,Hempstead,NY,11550,3,nan,35276.0,nan,nan,14000.0,nan,nan,28781.0,nan,nan,nan,21120.0,23047.0,19097.0
Long Island Business Institute,Flushing,NY,11354-5577,3,16950.0,nan,10416.0,10416.0,nan,800.0,nan,14815.0,0.2698,0.8173,nan,21148.0,22039.0,23428.0
Machzikei Hadath Rabbinical College,Brooklyn,NY,11204-1805,2,17687.0,nan,11650.0,11650.0,nan,200.0,nan,7442.0,nan,0.9474,0.0,nan,nan,nan
Mandl School-The College of Allied Health,New York,NY,10019-5516,3,24044.0,nan,14600.0,14600.0,nan,1200.0,nan,16928.0,0.3095,nan,nan,31146.0,32974.0,36181.0
Manhattan College,Riverdale,NY,10471-4098,2,57992.0,nan,45880.0,45880.0,nan,1200.0,nan,30215.0,0.5226,0.7765,0.5502,66043.0,75117.0,83117.0
Manhattan School of Music,New York,NY,10027,2,70925.0,nan,49270.0,49270.0,nan,1000.0,nan,19111.0,0.2839,0.4156,0.6991,25859.0,25217.0,24000.0
Manhattanville College,Purchase,NY,10577,2,51214.0,nan,40330.0,40330.0,nan,800.0,nan,20634.0,0.3567,0.8981,0.5727,43455.0,45548.0,54038.0
Maria College of Albany,Albany,NY,12208,2,21451.0,nan,15610.0,15610.0,nan,1500.0,nan,13716.0,0.8919,0.355,0.5714,43313.0,41037.0,46738.0
Marion S Whelan School of Nursing of Geneva General Hospital,Geneva,NY,14456-1651,2,nan,nan,10725.0,10725.0,nan,2500.0,nan,nan,nan,1.0,nan,45138.0,50925.0,45459.0
Marist College,Poughkeepsie,NY,12601,2,60670.0,nan,42290.0,42290.0,nan,1125.0,nan,36709.0,0.4323,0.5505,0.7746,55240.0,65982.0,71226.0
Marymount Manhattan College,New York,NY,10021-4597,2,59167.0,nan,37410.0,37410.0,nan,1000.0,nan,38757.0,0.2465,0.8818,0.503,37945.0,45243.0,48321.0
Medaille College,Buffalo,NY,14214-2695,2,36840.0,nan,31500.0,31500.0,nan,1111.0,nan,13244.0,0.2893,0.718,0.2971,35318.0,40459.0,44087.0
St. Peter's Hospital College of Nursing,Albany,NY,12208,2,nan,nan,13911.0,13911.0,nan,1800.0,nan,nan,nan,1.0,nan,56550.0,53788.0,73099.0
Memorial Hospital School of Radiation Therapy Technology,New York,NY,10065-6007,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Mercy College,Dobbs Ferry,NY,10522,2,29754.0,nan,20558.0,20558.0,nan,1652.0,nan,15093.0,0.2434,0.8196,0.3283,38085.0,43163.0,49292.0
Mesivta Torah Vodaath Rabbinical Seminary,Brooklyn,NY,11218,2,20260.0,nan,12360.0,12360.0,nan,200.0,nan,6081.0,nan,0.9,0.0,nan,nan,nan
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,Brooklyn,NY,11218-5559,2,17850.0,nan,9450.0,9450.0,nan,200.0,nan,9418.0,nan,0.7,0.0,nan,nan,nan
Mesivtha Tifereth Jerusalem of America,New York,NY,10002-6301,2,16750.0,nan,12000.0,12000.0,nan,200.0,nan,9750.0,nan,0.8421,0.0,nan,nan,nan
Southern Westchester BOCES-Practical Nursing Program,Harrison,NY,10528,1,nan,39334.0,nan,nan,17500.0,nan,33511.0,nan,nan,nan,nan,56603.0,60960.0,64871.0
Midway Paris Beauty School,Ridgewood,NY,11385,3,nan,27248.0,nan,nan,12700.0,nan,nan,23468.0,nan,nan,nan,21867.0,20616.0,18158.0
Mildred Elley School-Albany Campus,Albany,NY,12206-1513,3,26296.0,nan,13509.0,13509.0,nan,2250.0,nan,20969.0,nan,nan,nan,27853.0,29196.0,27928.0
Mirrer Yeshiva Cent Institute,Brooklyn,NY,11223-2010,2,19828.0,nan,10170.0,10170.0,nan,325.0,nan,7573.0,1.0,0.8621,0.0,nan,19267.0,nan
Modern Welding School,Schenectady,NY,12304,3,nan,24580.0,nan,nan,16200.0,nan,nan,21281.0,nan,nan,nan,37868.0,41223.0,nan
Mohawk Valley Community College,Utica,NY,13501-5394,1,14843.0,nan,5500.0,7798.0,nan,1616.0,7942.0,nan,0.4928,nan,nan,29113.0,33112.0,35817.0
Molloy College,Rockville Centre,NY,11571-5002,2,46531.0,nan,32550.0,32550.0,nan,1470.0,nan,27037.0,0.2726,0.7414,0.499,65824.0,65522.0,71986.0
Monroe College,Bronx,NY,10468,3,24323.0,nan,16536.0,16536.0,nan,900.0,nan,12239.0,0.5241,0.4884,0.688,32738.0,35602.0,36297.0
Monroe Community College,Rochester,NY,14623,1,14048.0,nan,5662.0,10368.0,nan,1200.0,6891.0,nan,0.4402,nan,nan,30960.0,34237.0,36787.0
Mount Saint Mary College,Newburgh,NY,12550,2,47103.0,nan,34412.0,34412.0,nan,1300.0,nan,25570.0,0.3611,0.9017,0.4854,51847.0,54983.0,59665.0
Montefiore School of Nursing,Mount Vernon,NY,10550-2009,2,23937.0,nan,12067.0,12067.0,nan,1806.0,nan,22097.0,nan,0.1643,nan,nan,nan,nan
College of Mount Saint Vincent,Bronx,NY,10471-1093,2,51240.0,nan,40980.0,40980.0,nan,1185.0,nan,20025.0,0.2517,0.9268,0.4275,54014.0,54373.0,55820.0
Icahn School of Medicine at Mount Sinai,New York,NY,10029-6574,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nassau Community College,Garden City,NY,11530-6793,1,12443.0,nan,6330.0,12130.0,nan,1950.0,4932.0,nan,0.4483,nan,nan,36219.0,40449.0,44581.0
Nazareth College,Rochester,NY,14618-3790,2,51405.0,nan,36735.0,36735.0,nan,1000.0,nan,31108.0,0.4183,0.7568,0.6134,41996.0,48813.0,51952.0
Neighborhood Playhouse School of the Theater,New York City,NY,10022-5017,2,34660.0,nan,17200.0,17200.0,nan,375.0,nan,33627.0,nan,1.0,nan,23116.0,40499.0,nan
The New School,New York,NY,10011,2,71907.0,nan,51022.0,51022.0,nan,1604.0,nan,44430.0,0.1955,0.691,0.5555,44274.0,50807.0,53981.0
The New School Center for Media,Albany,NY,12205,3,nan,10000.0,nan,nan,9000.0,nan,nan,5125.0,nan,nan,nan,32243.0,28598.0,nan
Northeast College of Health Sciences,Seneca Falls,NY,13148-0800,2,nan,nan,nan,nan,nan,nan,nan,nan,0.5125,nan,nan,nan,nan,nan
New York Law School,New York,NY,10013-2921,2,nan,nan,nan,nan,nan,nan,nan,nan,0.3358,nan,nan,nan,nan,nan
New York Medical College,Valhalla,NY,10595,2,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan
New York School for Medical and Dental Assistants,Long Island City,NY,11101,3,nan,15774.0,nan,nan,23800.0,nan,nan,10295.0,0.0645,nan,nan,33880.0,34652.0,35718.0
New York Theological Seminary,New York,NY,10115-0083,2,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan
New York University,New York,NY,10012-1091,2,73759.0,nan,54880.0,54880.0,nan,718.0,nan,38569.0,0.9944,0.2109,0.7921,60407.0,65682.0,76040.0
Niagara County Community College,Sanborn,NY,14132,1,11187.0,nan,5501.0,10253.0,nan,1500.0,5267.0,nan,1.0,nan,nan,32345.0,35530.0,39549.0
Niagara University,Niagara University,NY,14109,2,47384.0,nan,35240.0,35240.0,nan,400.0,nan,19635.0,1.0,0.9241,0.7085,42775.0,47752.0,52279.0
Empire Beauty School-Peekskill,Peekskill,NY,10566,3,nan,20162.0,nan,nan,12750.0,nan,nan,15288.0,nan,nan,nan,21777.0,19297.0,nan
North Country Community College,Saranac Lake,NY,12983-0089,1,17864.0,nan,6562.0,13734.0,nan,1700.0,12011.0,nan,1.0,nan,nan,32469.0,32358.0,37467.0
New York College of Podiatric Medicine,New York,NY,10035-1940,2,nan,nan,nan,nan,nan,nan,nan,nan,0.9143,nan,nan,nan,nan,nan
New York Institute of Technology,Old Westbury,NY,11568-8000,2,49465.0,nan,39760.0,39760.0,nan,1104.0,nan,20600.0,0.3287,0.7468,0.3308,51768.0,58252.0,58013.0
New York School of Interior Design,New York,NY,10021,2,53522.0,nan,26322.0,26322.0,nan,1600.0,nan,50846.0,0.0455,0.6725,0.2,47021.0,nan,57144.0
Nyack College,New York,NY,10004,2,38589.0,nan,25500.0,25500.0,nan,1000.0,nan,18142.0,0.3508,0.9732,0.3351,33665.0,37695.0,44409.0
Ohr Hameir Theological Seminary,Peekskill,NY,10566,2,nan,nan,12250.0,12250.0,nan,200.0,nan,nan,nan,1.0,0.0,nan,nan,nan
Onondaga Community College,Syracuse,NY,13215-4585,1,13836.0,nan,5754.0,10844.0,nan,650.0,6410.0,nan,0.3727,nan,nan,30989.0,34944.0,36917.0
Orange County Community College,Middletown,NY,10940,1,11009.0,nan,6094.0,11470.0,nan,1500.0,4607.0,nan,0.3499,nan,nan,34036.0,36781.0,40951.0
